mass1 	 log posteriorMass1 	 mass2 	 log posteriorMass2
20.0	0.0	20.0	7.29636413712e-19
20.1	7.36234347828e-144	20.1	4.41328745342e-08
20.2	6.07253279869e-152	20.2	6.59492442143e-07
20.3	7.8066725045e-145	20.3	1.92688662339e-08
20.4	1.30580793717e-133	20.4	1.05740282314e-18
20.5	1.26581292824e-139	20.5	3.89829730881e-24
20.6	4.95775941197e-140	20.6	3.15773429355e-28
20.7	7.91757848557e-141	20.7	2.66311146666e-30
20.8	8.75978314909e-134	20.8	1.67990437409e-32
20.9	2.43054973876e-106	20.9	4.06079579169e-35
21.0	3.2895321512e-147	21.0	1.13217853688e-37
21.1	1.31196880976e-121	21.1	2.51116018708e-06
21.2	6.6050887917e-141	21.2	4.71466587317e-31
21.3	5.25199122956e-145	21.3	1.39898551341e-46
21.4	6.38600842243e-145	21.4	3.64055696711e-16
21.5	8.17688513913e-139	21.5	3.01477288877e-10
21.6	1.21683296768e-136	21.6	6.05253037116e-15
21.7	8.47635758229e-112	21.7	3.26517170594e-21
21.8	6.89774732567e-136	21.8	7.59265683632e-62
21.9	4.39266214994e-96	21.9	1.94647774674e-63
22.0	1.53084482169e-126	22.0	1.23626516754e-41
22.1	2.35648988399e-148	22.1	6.94178724154e-45
22.2	5.87996616629e-142	22.2	2.58043786381e-59
22.3	8.15683722045e-85	22.3	2.54461959798e-53
22.4	7.59062616591e-97	22.4	5.39750294518e-68
22.5	4.30351535317e-93	22.5	2.62760764081e-44
22.6	5.215469257e-100	22.6	1.52260871395e-44
22.7	1.61010623627e-112	22.7	7.92880179337e-55
22.8	7.66371828372e-107	22.8	1.50462429863e-66
22.9	4.18497243458e-148	22.9	1.2431308933e-26
23.0	3.86492156783e-150	23.0	1.87174164468e-23
23.1	2.87421048235e-136	23.1	1.06938913461e-51
23.2	6.84981310584e-115	23.2	5.5029670695e-61
23.3	2.43772824846e-115	23.3	9.32312851419e-63
23.4	1.60043815404e-99	23.4	2.02999598746e-50
23.5	7.11484686148e-143	23.5	9.77465965758e-41
23.6	1.92330122076e-92	23.6	1.72821428213e-47
23.7	1.27365156612e-125	23.7	4.42690060729e-35
23.8	4.93790501925e-95	23.8	1.54126744428e-25
23.9	2.12684681995e-140	23.9	1.2904182733e-53
24.0	3.51549832763e-144	24.0	1.65277981435e-34
24.1	1.993509628e-122	24.1	3.67779729132e-47
24.2	8.286654695e-124	24.2	1.03616278263e-48
24.3	1.02243149978e-142	24.3	9.59388493826e-40
24.4	1.60046978959e-93	24.4	1.63501776573e-31
24.5	1.91518639952e-106	24.5	3.0885275329e-24
24.6	1.33904363092e-145	24.6	1.21067321128e-22
24.7	5.17078597911e-110	24.7	4.08970858044e-41
24.8	1.3156564845e-97	24.8	1.773881887e-27
24.9	6.34694347429e-103	24.9	3.75424442216e-34
25.0	2.27885625175e-151	25.0	4.72231364477e-19
25.1	1.90911112264e-100	25.1	1.70000613902e-35
25.2	2.58088414581e-103	25.2	3.91817244658e-34
25.3	3.24382546424e-138	25.3	1.42401473797e-32
25.4	4.97874738716e-109	25.4	3.39071141676e-17
25.5	2.51362128108e-90	25.5	2.88952291831e-16
25.6	2.84888634435e-113	25.6	7.22449283529e-28
25.7	6.94702071757e-102	25.7	8.57163965235e-27
25.8	1.68641441276e-111	25.8	5.2827262879e-26
25.9	5.53331380042e-122	25.9	1.68055036218e-24
26.0	1.15725843207e-142	26.0	3.93059557926e-23
26.1	3.11251712689e-103	26.1	3.46736982923e-14
26.2	1.16734682262e-119	26.2	6.73378561273e-14
26.3	9.89606432543e-147	26.3	1.54190139254e-09
26.4	1.19635966511e-109	26.4	3.50282693259e-18
26.5	1.20662043203e-79	26.5	7.56003963641e-19
26.6	2.90280550708e-144	26.6	5.20811868725e-16
26.7	2.30106772199e-127	26.7	1.13939565958e-14
26.8	1.23227994175e-135	26.8	1.26021553232e-08
26.9	2.78162781281e-106	26.9	1.06341406476e-12
27.0	6.87192372526e-86	27.0	1.19178238601e-11
27.1	2.97012123445e-102	27.1	6.61889768648e-11
27.2	3.22474546266e-114	27.2	4.5669514014e-10
27.3	6.58301434395e-92	27.3	4.53497241493e-09
27.4	8.40541284341e-97	27.4	1.83274632926e-07
