H1_cplx_snr_amp	H1_cplx_snr_arg	H1_optimal_snr	L1_cplx_snr_amp	L1_cplx_snr_arg	L1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	SKY_FRAME	a1	a2	azimuth	mc	cosalpha	costheta_jn	dec	deltalogL	deltaloglH1	deltaloglL1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	t0	tilt1	tilt2	time	
1.51666633224783e+00	2.79410001273598e+00	9.13876654763227e-01	2.16124491749685e+00	2.60773739151907e+00	1.20768946928276e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	5.44885160520090e-02	5.96067832760747e-01	4.30159724196922e+00	2.18473552968799e+01	7.25525489782649e-01	1.29389858489860e-01	-5.12967294676576e-01	-4.69696350729555e+00	-1.72078660196576e+00	-2.97617690532934e+00	2.00000000000000e+01	2.00000000000000e+01	-8.12056014104940e+03	1.28625447029349e+01	7.38495450298312e+00	-7.00817145807577e+00	-2.34410123441570e+00	1.51449146393689e+00	4.95937924636180e+00	1.88212955290826e+00	3.06888821774388e+00	3.10573580118956e+00	0.00000000000000e+00	2.08808092686587e-01	5.78596576383530e+00	1.00000000000000e+00	1.12761870438186e+09	2.83820930938030e+00	2.87923306858750e+00	1.12761870438528e+09	
3.90676645822441e-01	-4.99884244584253e-01	2.03623495882937e+00	1.66651725884930e+00	-2.62267061063968e+00	1.34349465151810e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	8.38254681253534e-01	1.12822516036885e-01	6.00320203085359e+00	1.31109870317378e+01	7.11199739031348e-01	6.58349603435236e-01	-1.12744969780950e+00	-4.22165392308852e+00	-1.37495704506591e+00	-2.84669687802216e+00	2.00000000000000e+01	2.00000000000000e+01	-8.12008483146520e+03	1.35297125217860e+01	7.57627547876948e+00	-7.04991243386051e+00	-5.10773193756377e-01	2.43951443656654e+00	4.93015646514827e+00	4.88245303217811e+00	2.07331455630190e+00	2.34135353760347e+00	0.00000000000000e+00	6.97929095710615e-01	1.04796605921367e+00	1.00000000000000e+00	1.12761870438905e+09	2.18815751774830e+00	1.24213846219080e+00	1.12761870437207e+09	
1.90735250798055e+00	-1.38625841412728e-01	2.05356915467455e+00	8.87284463108630e-01	-2.73378089990850e+00	2.69179027376502e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	3.08821956253681e-01	4.84675003069451e-01	2.99583199779887e+00	1.63067528005121e+01	6.14811017209457e-01	3.10054820224761e-01	3.30074893506377e-01	-4.04465010030435e+00	1.77073178620367e+00	-5.81538188650757e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11990782764241e+03	1.39447684094420e+01	6.88450569344867e+00	-6.98132046413633e+00	4.98212070454505e-01	3.38568769247353e+00	9.11797708588462e-01	5.42086238665694e+00	4.62881841568762e+00	2.93899074972747e+00	0.00000000000000e+00	1.63132079035481e-01	6.22153653194851e+00	1.00000000000000e+00	1.12761870433694e+09	2.74787551420717e+00	1.46854639151248e+00	1.12761870434966e+09	
1.11024028206812e+00	1.98624118414887e+00	1.36101194058420e+00	6.29072408719544e-01	5.36115733375430e-02	2.81949568802269e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	7.67963620012126e-01	4.95730565214805e-01	2.78816956832752e+00	1.55948989036941e+01	8.22506028109302e-01	-9.14061203022868e-01	1.03104472430617e-01	-3.73969144186412e+00	-1.53603209129733e+00	-2.20365935056634e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11960286898397e+03	1.34908155979081e+01	7.32549343914354e+00	-7.27225306244847e+00	3.70915813692693e-01	3.13080012731431e+00	2.91211056712033e+00	1.16868933241067e+00	3.27376931384393e-01	2.75168141493719e+00	0.00000000000000e+00	6.45727075131499e-01	1.90437890462911e-01	1.00000000000000e+00	1.12761870437560e+09	1.91696857650017e+00	2.23668072296972e+00	1.12761870438204e+09	
1.74786400557227e+00	-2.50000537673968e+00	1.07662762842184e+00	1.20347211935989e+00	2.92756616588477e+00	9.33414526730576e-01	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	6.73856110706850e-01	1.37788420415309e-01	4.93715770980908e+00	2.12064787997247e+01	8.29134059922346e-01	8.32092538354639e-01	-8.76340722656985e-01	-3.62049976966773e+00	-2.08716057794936e+00	-1.53333919171928e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11948367731179e+03	1.57092787582093e+01	7.31082386357127e+00	-6.23930102859382e+00	-1.82839006694312e+00	1.42491744637817e+00	4.88645299586252e+00	2.10254197681129e+00	4.19293621003587e+00	7.72521563098210e-01	0.00000000000000e+00	1.25171959250269e-01	6.07753403105483e+00	1.00000000000000e+00	1.12761870440746e+09	1.97617869540940e+00	1.11452634817640e+00	1.12761870440197e+09	
1.35699065300864e+00	1.21030804659203e+00	1.85867209308325e+00	2.89811147981477e+00	-2.04748271448589e+00	1.34692082217924e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	1.75705892785246e-01	8.82933654768275e-01	1.95239447724834e+00	2.01729372206797e+01	-1.01500799080740e-02	-8.73433428728717e-01	8.90308939910186e-01	-3.53585441951054e+00	-8.37672183061386e-01	-2.69818223644961e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11939903196164e+03	1.18116526881951e+01	7.40293307009508e+00	-6.23930102859382e+00	-3.92709721304525e-01	2.29539923560728e+00	6.04960412103145e+00	2.70817968779312e+00	3.22700675458207e+00	1.93677613953459e+00	0.00000000000000e+00	4.44947768189421e-01	1.27391880894701e+00	1.00000000000000e+00	1.12761870425623e+09	2.02659849169354e+00	3.06744805936031e+00	1.12761870426190e+09	
1.26648548873724e+00	-2.89292075923843e+00	9.06527552302583e-01	1.66584520994220e+00	-2.56930524261772e+00	1.04051591298651e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	2.37858866357248e-01	7.30742357170145e-01	6.14102784030715e+00	1.36660103198109e+01	-2.03394461440028e-01	-1.85555013887235e-01	-7.17421521541269e-01	-3.52217721377747e+00	-1.52368458021010e+00	-1.99849263356737e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11938535475590e+03	1.17190342800242e+01	7.39670861340086e+00	-6.23930102859382e+00	-1.86224651402233e+00	1.38002375641214e+00	1.85002331340862e-01	1.60194554623577e+00	5.56782267405741e+00	2.30639071387948e+00	0.00000000000000e+00	5.73778627510108e-01	2.79530427628791e+00	1.00000000000000e+00	1.12761870431107e+09	2.63051758549191e+00	2.89775129564575e+00	1.12761870429248e+09	
1.52859470318317e+00	1.92005912922906e+00	1.77070431059496e+00	1.21139089842203e+00	-1.26416395793442e+00	1.84502340435870e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	6.19222346887877e-01	7.74412641803078e-01	2.15814558844469e+00	1.56755671337926e+01	4.45187507184158e-01	5.44604517413570e-01	5.86587049617319e-01	-3.52134795506390e+00	-2.49394003704674e+00	-1.02740791801625e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11938452549717e+03	1.37199315661673e+01	7.48591305953479e+00	-6.31714036660222e+00	-9.83853075447160e-02	2.55724561162806e+00	2.10881443871338e-01	5.90917501591967e+00	5.46572313247818e+00	5.66678125834709e-01	0.00000000000000e+00	6.35146432638797e-01	7.06048260988601e-01	1.00000000000000e+00	1.12761870430678e+09	9.10582145604576e-01	1.37500326435555e+00	1.12761870431313e+09	
1.23528368975235e+00	-3.27080470630400e-01	3.75360239714560e+00	1.76530258748431e+00	-8.87751679664685e-01	2.80356066637784e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	3.11866437460718e-01	4.14266896370839e-01	2.35312048244856e+00	1.62261551095040e+01	-7.05715588024499e-01	3.54608272161577e-01	1.24986410859175e+00	-3.46011630150133e+00	-2.65382264427899e+00	-8.06293657223250e-01	2.00000000000000e+01	2.00000000000000e+01	-8.11932329384363e+03	1.33750355282693e+01	6.70914989496616e+00	-6.23930102859382e+00	1.60396609482321e+00	4.68502757365612e+00	8.71593024389902e-01	2.94351427127327e+00	4.61491616186318e+00	2.00704693711909e+00	0.00000000000000e+00	5.53692193342292e-01	3.24907197024122e+00	1.00000000000000e+00	1.12761870431554e+09	1.52870120719834e+00	1.62006354688867e+00	1.12761870432820e+09	
8.59610906731755e-01	4.14604766467114e-01	2.54577583552853e+00	3.88619430007927e-01	-2.06415377137832e+00	1.88306705111060e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	6.02132866886571e-01	8.09632808440899e-01	5.43640146082664e+00	1.94328156628805e+01	2.03861546478339e-01	-9.30854156581715e-01	-1.25427185743023e+00	-3.35705854936077e+00	-1.23751952177690e+00	-2.11953902758341e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11922023609147e+03	1.49284669906215e+01	7.27840040257228e+00	-7.36819505672329e+00	5.23096004710572e-01	3.16653061310630e+00	2.57234808577994e-01	4.36133697085213e-01	8.73058260774024e-01	3.04945780384769e+00	0.00000000000000e+00	2.45279442600060e-01	4.08964998311527e+00	1.00000000000000e+00	1.12761870427926e+09	1.62957606415144e+00	1.97746064549810e+00	1.12761870426653e+09	
