H1_cplx_snr_amp	H1_cplx_snr_arg	H1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	a1	a2	mc	costheta_jn	dec	deltalogL	deltaloglH1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	tilt1	tilt2	time	
1.15615303106874e+00	-2.91187343050356e+00	2.13031918872990e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.78591414235666e-01	5.11105344355483e-01	2.11874136060445e+01	-8.19697450590965e-01	2.15414859476580e-02	-4.66740346223651e+00	-4.66740346223651e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92955709303481e+03	1.49132166316209e+01	7.38342095453363e+00	-6.62301894283511e+00	-1.12578131577120e+00	2.13031918872990e+00	6.06564852234500e+00	4.19963841616016e+00	1.28312686943635e-01	1.02125821757548e+00	0.00000000000000e+00	2.33951321320275e-01	1.72391563747207e-01	1.00000000000000e+00	2.05436286251949e+00	2.21622246825172e+00	1.12909754276717e+09	
3.11199088710701e+00	2.54950704702926e+00	1.36500133372317e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.63004434877047e-01	3.40786013310834e-01	1.58325947022154e+01	1.56126868213946e-01	-1.53981703093385e-01	-4.45640703322351e+00	-4.45640703322351e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92934609660580e+03	1.43416791436237e+01	7.49679666885212e+00	-6.23930102859382e+00	-2.58226320048818e+00	1.36500133372317e+00	1.34980994632823e+00	2.80823675368953e+00	3.54527247412010e+00	2.74436741692411e+00	0.00000000000000e+00	3.43407419840541e-01	1.56515207653116e-01	1.00000000000000e+00	1.64984919388294e+00	2.30573560032396e+00	1.12909754285552e+09	
1.26547765376530e+00	1.44627982439155e+00	2.82150816275233e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.40154140654998e-01	3.14291421087178e-01	1.51448307316394e+01	-5.78001342149642e-01	-7.56945690647562e-01	-3.53700903490062e+00	-3.53700903490062e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92842669860747e+03	1.42017942873375e+01	7.15036062295347e+00	-7.06622757097939e+00	1.57165989165758e-01	2.82150816275233e+00	4.11418897686621e+00	3.24382564563222e+00	2.59235880464546e+00	2.74886296106329e-01	0.00000000000000e+00	2.33250621205776e-01	2.34217453191556e+00	1.00000000000000e+00	2.12694772186485e+00	1.42735757479296e+00	1.12909754277037e+09	
1.36597775509678e+00	1.14181189591526e+00	3.23091242054681e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.85455371151659e-01	7.80693204203361e-01	1.79876864568065e+01	7.22659666393998e-01	-2.82504590945100e-02	-3.38367389787209e+00	-3.38367389787209e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92827336347044e+03	1.48243463375422e+01	7.27860917027146e+00	-6.68676083987941e+00	5.68174991397345e-01	3.23091242054681e+00	2.31937791347160e+00	4.46726748448895e+00	4.57599699812875e+00	7.01997716106273e-01	0.00000000000000e+00	2.58398015635009e-01	3.20990016737060e+00	1.00000000000000e+00	1.33639116974070e+00	1.80380610985465e+00	1.12909754286932e+09	
1.04609757186970e+00	1.11093296319024e+00	2.88052178404426e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.40295917685704e-01	6.15143917932430e-02	1.94861457171793e+01	-3.22328683936840e-01	-6.00328955116106e-01	-2.81131994691214e+00	-2.81131994691214e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92770100951948e+03	1.29269634155680e+01	6.97179780026692e+00	-7.17690688470084e+00	4.64284955133013e-01	2.88052178404426e+00	3.78710039040096e+00	2.32537577896357e+00	6.10806700150855e+00	1.41943009329038e+00	0.00000000000000e+00	5.48318204624335e-01	1.74850738198723e+00	1.00000000000000e+00	5.75278073105223e-01	1.11979864502616e+00	1.12909754278640e+09	
1.58431388553201e+00	-2.17657341516031e+00	1.53830064917792e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.82570473257312e-01	2.05686103465574e-01	1.42727048801907e+01	9.20556781407552e-01	1.00887280622885e+00	-2.57090085428672e+00	-2.57090085428672e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92746059042686e+03	1.21522190113739e+01	7.17325749591400e+00	-6.62497114051398e+00	-9.02110007817884e-01	1.53830064917792e+00	2.67285799606318e+00	3.68985579183624e+00	2.81032479489730e+00	2.98283538942962e+00	0.00000000000000e+00	4.97410854440227e-01	2.93356391923814e+00	1.00000000000000e+00	7.49610686225434e-01	2.59924825544229e+00	1.12909754288618e+09	
1.69511805467147e+00	1.88124500153667e+00	1.69910672240678e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	3.69129939069289e-01	4.11111556642147e-01	1.98378865197063e+01	4.64145710555014e-01	-6.05061047120685e-01	-2.32333816865139e+00	-2.32333816865139e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92721302774122e+03	1.42883212622967e+01	7.09975972858328e+00	-6.23930102859382e+00	-5.17834653929742e-01	1.69910672240678e+00	2.86978202646031e+00	5.14613823981854e+00	4.07698406366174e-01	1.16440446103370e+00	0.00000000000000e+00	2.21774276724350e-01	1.53968430438889e+00	1.00000000000000e+00	8.99447696965762e-01	2.23894527079297e+00	1.12909754276099e+09	
1.41822377869507e+00	-2.25232615164830e+00	1.41218144312989e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	5.77727597784834e-01	7.58538661593446e-01	1.30824917183694e+01	9.97083446500380e-02	-7.15407337330216e-01	-2.25884909970773e+00	-2.25884909970773e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92714853867228e+03	1.43881619588606e+01	7.20201469371969e+00	-6.66891887428058e+00	-8.93455222546292e-01	1.41218144312989e+00	2.91214021520600e-02	3.03751912823121e+00	1.83852509138919e+00	7.13440892947793e-01	0.00000000000000e+00	1.67809647508167e-01	6.51474064769236e-01	1.00000000000000e+00	2.30932751921458e+00	1.51222384341586e+00	1.12909754281981e+09	
1.00172087729140e+00	5.49854260816726e-01	3.06706170653210e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.10939938437234e-01	2.75199202856614e-01	2.11882488007297e+01	-1.44464370829252e-01	-1.05325533050707e+00	-2.08395477374779e+00	-2.08395477374779e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92697364434632e+03	1.30646367511058e+01	7.09972342143989e+00	-7.34480488058316e+00	8.54067910179675e-01	3.06706170653210e+00	4.37722544270186e+00	5.47792167195096e+00	2.75636486225257e+00	2.24831069847201e+00	0.00000000000000e+00	5.12307772624829e-01	1.95624168348516e+00	1.00000000000000e+00	1.33596580783752e+00	8.11888745247535e-01	1.12909754290384e+09	
1.90826243478094e+00	2.97100403375195e-01	3.52242086111902e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.21474668538330e-02	4.24386155911702e-01	2.11414581423261e+01	1.48509518837491e-01	1.12346990749790e+00	2.23496927506403e-01	2.23496927506403e-01	2.00000000000000e+01	2.00000000000000e+01	-3.92466619264507e+03	1.39674601131510e+01	6.63937707518123e+00	-6.23930102859382e+00	1.82466023860866e+00	3.52242086111902e+00	1.03620987777048e+00	5.65892725285173e+00	4.36429753088714e+00	2.84272807176023e+00	0.00000000000000e+00	1.33477088594341e-01	5.28891916342651e+00	1.00000000000000e+00	1.86256431322838e+00	8.29494196646469e-01	1.12909754293862e+09	
