L1_cplx_snr_amp	L1_cplx_snr_arg	L1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	a1	a2	mc	costheta_jn	dec	deltalogL	deltaloglL1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	tilt1	tilt2	time	
1.29067817154282e+00	2.73834309727342e+00	1.93651696514290e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.66548005772960e-01	4.45894489625655e-01	1.72398093807777e+01	-1.07859891131298e-01	-1.27074352323472e-01	-4.17399240211353e+00	-4.17399240211353e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01478772852381e+03	1.25036335228495e+01	6.58729440897253e+00	-6.23930102859382e+00	-1.18715377419934e+00	1.93651696514290e+00	2.92701514073571e+00	3.12073080538918e+00	2.66085762679720e+00	5.46411587629507e-01	0.00000000000000e+00	8.13766460061951e-01	5.48952258512402e+00	1.00000000000000e+00	2.17057710604215e+00	2.19942923730135e+00	1.12849707794933e+09	
1.72135714734706e+00	-3.11328354901535e+00	1.61973581098998e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	3.44752386798276e-01	1.61284285973298e-01	2.19557585690051e+01	-3.27868496685936e-01	1.24556057932520e+00	-4.09879872161582e+00	-4.09879872161582e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01471253484331e+03	1.44339501637024e+01	7.57736582773711e+00	-6.23930102859382e+00	-1.72066744095195e+00	1.61973581098998e+00	3.81644054157919e+00	5.57066787539514e+00	1.14426104489184e-01	1.01606074113391e+00	0.00000000000000e+00	1.58592245009133e-01	1.61369911614478e+00	1.00000000000000e+00	1.47167356671724e+00	7.81046445586028e-01	1.12849707785381e+09	
8.07924693093440e-01	2.65572144981829e+00	2.04769420110745e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.25949814223781e-01	8.68174079924021e-01	1.52366373262808e+01	8.72060143874432e-01	2.20692843260111e-01	-3.55944420596597e+00	-3.55944420596597e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01417318032766e+03	1.27219646202665e+01	7.38518645344196e+00	-6.23930102859382e+00	-7.14422316843155e-01	2.04769420110745e+00	3.16579044313306e+00	4.46731354784804e+00	9.35733940145231e-01	2.25699476876324e+00	0.00000000000000e+00	5.73802853486555e-01	2.41490450886671e+00	1.00000000000000e+00	4.82699863402837e-01	2.44062064217322e+00	1.12849707784195e+09	
9.83664668629606e-01	2.50718153625499e+00	1.88275819437540e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.40381427020339e-01	8.08589377756359e-01	1.29226204933005e+01	-7.07288622502930e-02	6.57470651313556e-01	-3.26403084531557e+00	-3.26403084531557e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01387776696701e+03	1.41585355803433e+01	6.77634514855933e+00	-6.97957831913012e+00	-7.92264052031613e-01	1.88275819437540e+00	3.49699473886178e+00	3.93619966329936e+00	2.71753715812945e+00	3.26438096722404e-01	0.00000000000000e+00	1.62579660087687e-01	4.35112032707936e+00	1.00000000000000e+00	1.00276079587499e+00	1.44391103255480e+00	1.12849707793390e+09	
8.77037609382199e-01	-2.32492229376453e+00	1.87973930555025e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.58852253425393e-01	9.61767097111680e-02	2.03954629683223e+01	4.28409641621015e-01	-3.51644016264515e-01	-2.89542842226683e+00	-2.89542842226683e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01350916454396e+03	1.25183514377051e+01	7.36640981319618e+00	-6.23930102859382e+00	-6.00465442478672e-01	1.87973930555025e+00	3.26519470934065e+00	4.74982085724789e-01	4.67805470880689e+00	2.23661577600641e+00	0.00000000000000e+00	4.35431688086786e-01	5.89749984301768e+00	1.00000000000000e+00	1.32694717989945e+00	1.48894492416449e-01	1.12849707786413e+09	
6.03980530340153e-01	-2.27325362763375e+00	2.03710026973783e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.19280304466008e-01	7.46264175474372e-01	1.35154879583906e+01	9.98532356674980e-01	1.01250179097484e+00	-2.86982418068692e+00	-2.86982418068692e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01348356030238e+03	1.45180201697403e+01	7.54446806829743e+00	-6.23930102859382e+00	-3.90228914115431e-01	2.03710026973783e+00	3.32656951027518e+00	3.85452661168703e-01	2.09093609391124e+00	2.40524017983031e+00	0.00000000000000e+00	1.77981058487910e-01	1.70942775971187e+00	1.00000000000000e+00	1.53795957048278e+00	1.07755093943773e+00	1.12849707800510e+09	
1.69639142216566e+00	2.46186590442204e+00	1.41492743657634e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.12668054230395e-01	8.10006903580469e-01	1.71394333801523e+01	-7.37085547353755e-01	5.52869501525880e-02	-2.86780723151332e+00	-2.86780723151332e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01348154335321e+03	1.52208600276935e+01	7.51288054857559e+00	-6.23930102859382e+00	-1.31935911190042e+00	1.41492743657634e+00	5.61387867563021e+00	3.78331435223283e+00	3.17218096461405e+00	1.88442375694663e+00	0.00000000000000e+00	1.44742696138608e-01	1.68021803984406e+00	1.00000000000000e+00	2.46349579730284e+00	1.83280181975560e+00	1.12849707800880e+09	
1.54883081020622e+00	-2.67832801989436e+00	1.35662556542892e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.61628922774799e-01	3.98707645921830e-02	1.98307673303053e+01	-1.32562786112277e-01	-3.57930530416418e-01	-2.79993183006673e+00	-2.79993183006673e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01341366795176e+03	1.37810629424558e+01	7.34786745829865e+00	-6.54798125274587e+00	-1.38558156029208e+00	1.35662556542892e+00	4.57582846270253e+00	4.15058022194294e+00	2.06178642012899e+00	2.20927519431824e+00	0.00000000000000e+00	5.13102571022121e-01	7.72841661515039e-01	1.00000000000000e+00	7.49531654585161e-01	1.20896891171259e+00	1.12849707785503e+09	
2.19716578332459e+00	5.60647606552632e-01	4.86586587037037e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.28745033087658e-01	5.64035968505320e-02	1.49542137109139e+01	-4.24507666487666e-01	-3.21640065928625e-01	-2.78390399695672e+00	-2.78390399695672e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01339764011865e+03	1.01158674102322e+01	6.57140681456404e+00	-6.37321468870349e+00	1.86080372506684e+00	4.86586587037037e+00	5.96925070868788e+00	1.76665515622783e+00	1.68892244413835e+00	8.24661425409225e-01	0.00000000000000e+00	9.89104895754653e-01	3.47979810942281e+00	1.00000000000000e+00	2.76721941147965e+00	2.88880274755495e+00	1.12849707795098e+09	
5.92024650218504e-01	-2.85861629019993e+00	1.85594526209184e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.44859689237259e-01	4.22465107809956e-01	2.15132363435994e+01	2.24441571874580e-01	4.47470542320247e-01	-2.77733236907534e+00	-2.77733236907534e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01339106849077e+03	1.39845419684882e+01	7.51535855473887e+00	-6.79764602425943e+00	-5.68479029357625e-01	1.85594526209184e+00	2.82999438056112e+00	1.51334351076987e+00	5.90316401392612e+00	1.61992144312069e+00	0.00000000000000e+00	6.34818941354506e-01	5.75162984315687e-01	1.00000000000000e+00	2.21389213884893e+00	1.42515793045524e+00	1.12849707797488e+09	
8.04694492007315e-01	2.47275432416754e+00	1.78207307271604e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.96205107260638e-01	6.05329625827084e-01	1.63824073965958e+01	5.46053547438443e-01	-2.06343054737018e-01	-2.71294532088223e+00	-2.71294532088223e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01332668144257e+03	1.42240709439311e+01	7.02755020126646e+00	-6.66912079261622e+00	-6.31317042975109e-01	1.78207307271604e+00	3.79480816091855e+00	2.44884871231024e+00	3.52308725081285e+00	9.24670446298752e-01	0.00000000000000e+00	2.83489417576845e-01	2.43071241195675e+00	1.00000000000000e+00	1.91354069107087e+00	2.06340812244907e+00	1.12849707789762e+09	
9.28690671717233e-01	-1.82635952802307e+00	2.10637287239201e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.40258575417885e-01	8.23758223348424e-01	2.14220783032297e+01	-9.32704778842355e-01	2.05171882178605e-01	-2.71290395910137e+00	-2.71290395910137e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01332664008079e+03	1.36828364979605e+01	7.43592403026282e+00	-6.74554758705551e+00	-2.34764047148603e-01	2.10637287239201e+00	3.59905732774516e+00	2.74017184592478e+00	5.68798370391957e+00	2.94177010964975e+00	0.00000000000000e+00	2.28425979774471e-01	3.30207703640480e+00	1.00000000000000e+00	1.64110435291619e+00	2.94710844254084e+00	1.12849707783635e+09	
2.75066372251442e-01	2.03762533883149e+00	2.18031444126162e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.18355086233241e-01	1.87511892271296e-01	2.17906805683920e+01	-4.18349785732329e-01	-6.36488993260625e-01	-2.64679866530923e+00	-2.64679866530923e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01326053478700e+03	1.42227224189153e+01	6.37531305077281e+00	-6.75881012774990e+00	-1.23795508030613e-01	2.18031444126162e+00	3.06505456219545e-01	5.88097550538964e+00	1.44881362915251e+00	2.45856693999024e-01	0.00000000000000e+00	1.37054847020672e-01	1.79744388687489e-01	1.00000000000000e+00	2.25469563030142e+00	2.17283667364884e+00	1.12849707791461e+09	
1.65859752412912e+00	-1.49360925671562e+00	2.42609512264869e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.56701632684483e-01	2.01253784837132e-01	1.87313783125329e+01	-4.81020030618167e-01	5.94533325296412e-01	-2.63268285502727e+00	-2.63268285502727e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01324641897672e+03	1.43293950354115e+01	6.82370214429881e+00	-6.23930102859382e+00	1.27895198397555e-01	2.42609512264869e+00	2.57993837808085e+00	3.09564895257713e+00	5.81713510236023e-01	1.88273017222143e+00	0.00000000000000e+00	2.42764824962117e-01	2.28359675902521e+00	1.00000000000000e+00	1.69393584924309e+00	1.71283390923015e+00	1.12849707787515e+09	
1.13048532322303e+00	-1.96220013717466e+00	1.85245325564061e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.69608355238948e-01	3.91864023380983e-01	1.60949809256123e+01	1.13239462467790e-01	2.70750606787640e-02	-2.51468944842418e+00	-2.51468944842418e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01312842557012e+03	1.36771695466301e+01	6.49684446801523e+00	-6.23930102859382e+00	-4.31264818059533e-01	1.85245325564061e+00	1.63071678430030e+00	5.01795573819842e+00	1.01156604973322e+00	2.86504882223465e+00	0.00000000000000e+00	2.69249207743092e-01	5.59041844168436e+00	1.00000000000000e+00	2.26466688899213e+00	1.53902474523523e+00	1.12849707799589e+09	
1.44186551553284e+00	-1.66112354186899e+00	2.11304789485825e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.32436343016211e-01	4.51416475209418e-01	1.37027644063114e+01	-6.64660396640733e-01	-1.22827683958905e+00	-2.50731434210593e+00	-2.50731434210593e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01312105046380e+03	1.25884112026184e+01	7.24915094630732e+00	-6.23930102859382e+00	-1.30062664359023e-01	2.11304789485825e+00	2.35610337101706e-01	1.53468678397036e+00	6.23094943115115e+00	7.65878600015964e-01	0.00000000000000e+00	3.12823423697184e-01	4.96297021165065e+00	1.00000000000000e+00	1.24812735607137e+00	5.59502003118563e-01	1.12849707793797e+09	
1.64694072900502e+00	1.64936054882669e+00	2.11221485939872e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.81081062321489e-01	2.46046072157935e-01	1.52864016214012e+01	7.20432345913851e-01	1.33451535437453e+00	-2.50374552625090e+00	-2.50374552625090e+00	2.00000000000000e+01	2.00000000000000e+01	-4.01311748164794e+03	1.25362986257371e+01	7.46801508084690e+00	-6.64307918379572e+00	-1.29257551097928e-01	2.11221485939872e+00	6.24760908963402e+00	2.46307184064462e+00	3.58717528871616e+00	9.90233271403512e-01	0.00000000000000e+00	3.61796734862316e-01	6.21856138601658e+00	1.00000000000000e+00	1.49469539432829e+00	2.52162361840907e+00	1.12849707794709e+09	
