log Posterior Distribution 	 m1 	 m2
1950806.65073	21.0	20.0
1950694.15106	22.0	20.0
1950659.58766	22.0	21.0
1950652.7904	23.0	20.0
1950624.69534	23.0	21.0
1950612.07539	23.0	22.0
1950684.69477	24.0	20.0
1950610.85774	24.0	21.0
1950695.66831	24.0	22.0
1950608.90719	24.0	23.0
1950612.15665	25.0	20.0
1950607.00163	25.0	21.0
1950611.44047	25.0	22.0
1950700.49641	25.0	23.0
1950590.74837	25.0	24.0
1950617.08347	26.0	20.0
1950619.8799	26.0	21.0
1950698.30154	26.0	22.0
1950836.66264	26.0	23.0
1950584.50975	26.0	24.0
1950618.60946	26.0	25.0
1950642.36412	27.0	20.0
1950617.49404	27.0	21.0
1950693.38198	27.0	22.0
1950680.70332	27.0	23.0
1950625.44239	27.0	24.0
1950613.55912	27.0	25.0
1950581.60596	27.0	26.0
1950651.19203	28.0	20.0
1950638.64581	28.0	21.0
1950730.42713	28.0	22.0
1950640.98795	28.0	23.0
1950690.53066	28.0	24.0
1950676.46283	28.0	25.0
1950499.01167	28.0	26.0
1950612.06551	28.0	27.0
1950683.65195	29.0	20.0
1950680.19015	29.0	21.0
1950674.06704	29.0	22.0
1950645.03262	29.0	23.0
1950654.40967	29.0	24.0
1950688.44604	29.0	25.0
1950679.69966	29.0	26.0
1950586.7559	29.0	27.0
1950614.5195	29.0	28.0
1950733.35186	30.0	20.0
1950693.41028	30.0	21.0
1950678.45768	30.0	22.0
1950635.57546	30.0	23.0
1950616.46525	30.0	24.0
1950607.19369	30.0	25.0
1950608.41113	30.0	26.0
1950630.08964	30.0	27.0
1950648.21676	30.0	28.0
1950667.37703	30.0	29.0
1950669.77167	31.0	20.0
1950724.55216	31.0	21.0
1950679.12869	31.0	22.0
1950657.05405	31.0	23.0
1950648.47246	31.0	24.0
1950645.67862	31.0	25.0
1950644.9765	31.0	26.0
1950673.38229	31.0	27.0
1950678.68635	31.0	28.0
1950696.40819	31.0	29.0
1950631.61207	31.0	30.0
1950695.80804	32.0	20.0
1950759.45523	32.0	21.0
1950747.07117	32.0	22.0
1950615.10904	32.0	23.0
1950699.6248	32.0	24.0
1950709.59813	32.0	25.0
1950713.93824	32.0	26.0
1950719.68656	32.0	27.0
1950722.48399	32.0	28.0
1950631.28377	32.0	29.0
1950619.98066	32.0	30.0
1950857.28248	32.0	31.0
1950783.90361	33.0	20.0
1950777.32711	33.0	21.0
1950669.65522	33.0	22.0
1950766.16505	33.0	23.0
1950640.52091	33.0	24.0
1950769.24937	33.0	25.0
1950760.54038	33.0	26.0
1950764.27287	33.0	27.0
1950587.40293	33.0	28.0
1950820.57427	33.0	29.0
1950873.65056	33.0	30.0
1950939.3016	33.0	31.0
1951001.50396	33.0	32.0
1950820.5759	34.0	20.0
1950833.57285	34.0	21.0
1950831.48041	34.0	22.0
1950836.39638	34.0	23.0
1950831.34651	34.0	24.0
1950818.01975	34.0	25.0
1950817.27773	34.0	26.0
1950831.4674	34.0	27.0
1950860.51552	34.0	28.0
1950904.01503	34.0	29.0
1950967.72327	34.0	30.0
1951011.25301	34.0	31.0
1951040.14247	34.0	32.0
1951040.40029	34.0	33.0
1950853.16944	35.0	20.0
1950869.32197	35.0	21.0
1950883.18701	35.0	22.0
1950883.69466	35.0	23.0
1950872.21627	35.0	24.0
1950871.52468	35.0	25.0
1950883.65237	35.0	26.0
1950907.31505	35.0	27.0
1950635.78295	35.0	28.0
1950604.44009	35.0	29.0
1951027.40258	35.0	30.0
1951046.8898	35.0	31.0
1951041.24769	35.0	32.0
1951019.02182	35.0	33.0
1950777.3948	35.0	34.0
1950842.35285	36.0	20.0
1950879.41132	36.0	21.0
1950898.50749	36.0	22.0
1950899.81134	36.0	23.0
1950908.66319	36.0	24.0
1950632.27222	36.0	25.0
1950948.34062	36.0	26.0
1950622.47684	36.0	27.0
1951012.88619	36.0	28.0
1951042.79992	36.0	29.0
1950527.26918	36.0	30.0
1951039.3332	36.0	31.0
1951013.41359	36.0	32.0
1950982.16776	36.0	33.0
1950945.56886	36.0	34.0
1950903.76587	36.0	35.0
1950791.65583	37.0	20.0
1950843.61765	37.0	21.0
1950654.09436	37.0	22.0
