File 	 GPStime 	 HCoh32	 LCoh32
posterior_H1L1_1127711242.79-377.hdf5	1127711242.79	6.04520349315	5.83396296651
posterior_H1L1_1126955590.62-380.hdf5	1126955590.62	5.43189321309	4.67305514467
posterior_H1L1_1128128183.41-468.hdf5	1128128183.41	5.24552771864	4.90418220668
posterior_H1L1_1128934599.22-615.hdf5	1128934599.22	6.68601677323	5.79988636202
posterior_H1L1_1127187088.53-381.hdf5	1127187088.53	6.40561985926	7.24956430133
posterior_H1L1_1128250977.33-476.hdf5	1128250977.33	6.41549548336	5.48397579302
posterior_H1L1_1128933299.79-608.hdf5	1128933299.79	7.27450790999	6.74700209261
posterior_H1L1_1126770128.88-385.hdf5	1126770128.88	8.41442146521	6.86782624441
posterior_H1L1_1128134270.18-532.hdf5	1128134270.18	4.43148237196	4.03923184993
posterior_H1L1_1126768359.74-585.hdf5	1126768359.74	5.3059218966	5.62491163849
posterior_H1L1_1129333578.26-378.hdf5	1129333578.26	7.53497118018	8.52311246938
posterior_H1L1_1127061470.99-433.hdf5	1127061470.99	4.98660566767	4.44754184171
posterior_H1L1_1127100483.06-594.hdf5	1127100483.06	5.01969212137	6.02486959393
posterior_H1L1_1128227171.02-412.hdf5	1128227171.02	4.66138359116	4.86341395256
posterior_H1L1_1126759521.57-457.hdf5	1126759521.57	5.52272141258	5.18213072746
posterior_H1L1_1127433122.83-499.hdf5	1127433122.83	4.76785589372	5.74399500504
posterior_H1L1_1127999992.18-375.hdf5	1127999992.18	6.10452693795	6.65255922362
posterior_H1L1_1127783006.16-343.hdf5	1127783006.16	4.96431825586	5.19148430512
posterior_H1L1_1129347653.96-506.hdf5	1129347653.96	4.74079281435	4.45450744317
posterior_H1L1_1126652504.18-581.hdf5	1126652504.18	6.57509816972	6.80500148539
posterior_H1L1_1127181965.06-595.hdf5	1127181965.06	4.53849040319	4.12667273518
posterior_H1L1_1128430997.75-452.hdf5	1128430997.75	6.13944240818	5.67612791005
posterior_H1L1_1126759600.57-576.hdf5	1126759600.57	5.44701186655	5.47320733069
posterior_H1L1_1128998665.83-462.hdf5	1128998665.83	5.54616076627	4.82271865583
posterior_H1L1_1128761443.57-515.hdf5	1128761443.57	8.12330733779	7.8256853993
posterior_H1L1_1129251773.02-492.hdf5	1129251773.02	5.17607784278	4.35433440402
posterior_H1L1_1126796497.07-392.hdf5	1126796497.07	8.23845607605	11.116498035
posterior_H1L1_1128285690.76-488.hdf5	1128285690.76	4.72632272278	7.2292049043
posterior_H1L1_1126742304.84-374.hdf5	1126742304.84	7.44942673824	7.81567302969
posterior_H1L1_1128761463.65-405.hdf5	1128761463.65	5.89726095739	9.42041511081
posterior_H1L1_1128168660.77-554.hdf5	1128168660.77	4.28370730441	4.13239543256
posterior_H1L1_1127785576.15-570.hdf5	1127785576.15	5.96003733657	4.80207937003
posterior_H1L1_1128051935.27-521.hdf5	1128051935.27	7.19402128181	5.00466469462
posterior_H1L1_1126571737.05-483.hdf5	1126571737.05	5.68612897671	5.05163010478
posterior_H1L1_1127033331.87-564.hdf5	1127033331.87	6.15680829027	5.4894505213
posterior_H1L1_1127536358.64-333.hdf5	1127536358.64	6.47707422393	5.24864271087
posterior_H1L1_1127666650.08-332.hdf5	1127666650.08	7.33012502897	8.78647059006
posterior_H1L1_1127394653.64-411.hdf5	1127394653.64	4.89028951174	5.30464392525
posterior_H1L1_1128430632.89-477.hdf5	1128430632.89	5.63578081847	6.52276525285
posterior_H1L1_1128118929.13-451.hdf5	1128118929.13	4.69468982822	4.11570513861
posterior_H1L1_1127523212.58-619.hdf5	1127523212.58	6.44225874298	5.4200469837
posterior_H1L1_1126562421.57-360.hdf5	1126562421.57	6.06988824042	6.24104153876
posterior_H1L1_1127240358.58-524.hdf5	1127240358.58	5.30753172999	5.93345486225
posterior_H1L1_1128218515.88-522.hdf5	1128218515.88	5.3599708515	5.9008220205
posterior_H1L1_1126991475.8-446.hdf5	1126991475.8	9.34448771935	8.30259480876
posterior_H1L1_1126990892.29-443.hdf5	1126990892.29	6.26806994661	6.32446607392
posterior_H1L1_1128169326.19-580.hdf5	1128169326.19	5.04446560562	4.90239942222
posterior_H1L1_1127405363.34-523.hdf5	1127405363.34	5.74958535508	6.27869724076
posterior_H1L1_1128916526.36-561.hdf5	1128916526.36	5.39714366363	7.05882416557
posterior_H1L1_1127239888.6-346.hdf5	1127239888.6	4.98787064149	7.02413551344
posterior_H1L1_1127477587.89-504.hdf5	1127477587.89	5.65330060864	4.5648641825
posterior_H1L1_1127738037.11-442.hdf5	1127738037.11	5.16839967834	4.47496315851
posterior_H1L1_1128123332.63-502.hdf5	1128123332.63	6.31174127267	5.80408794063
posterior_H1L1_1127621496.93-582.hdf5	1127621496.93	6.48480233591	5.25759401293
posterior_H1L1_1127707470.88-600.hdf5	1127707470.88	7.41927939344	4.86339912572
posterior_H1L1_1129080224.54-510.hdf5	1129080224.54	4.9270235017	5.36049207784
posterior_H1L1_1128121760.76-358.hdf5	1128121760.76	8.29969327117	8.47288452688
posterior_H1L1_1127563746.2-314.hdf5	1127563746.2	7.20518264471	5.55100194151
posterior_H1L1_1127050603.11-496.hdf5	1127050603.11	4.85074089254	3.40141024914
posterior_H1L1_1128168603.81-591.hdf5	1128168603.81	6.20692855283	5.95172194612
posterior_H1L1_1127708824.65-421.hdf5	1127708824.65	5.88441151032	4.63460532442
posterior_H1L1_1127690546.59-342.hdf5	1127690546.59	5.43557853284	4.54034247306
posterior_H1L1_1126659549.62-318.hdf5	1126659549.62	5.99772023422	7.0712285307
posterior_H1L1_1126626280.25-428.hdf5	1126626280.25	5.81038457771	6.34393612908
posterior_H1L1_1127376114.99-491.hdf5	1127376114.99	6.90656070187	5.19685333109
posterior_H1L1_1128692057.64-556.hdf5	1128692057.64	6.32520183977	6.22402189688
posterior_H1L1_1127651908.96-356.hdf5	1127651908.96	6.96949483433	6.21993195175
posterior_H1L1_1128762891.24-587.hdf5	1128762891.24	5.09297085492	7.80979340181
posterior_H1L1_1127239497.14-597.hdf5	1127239497.14	6.84511486929	4.75928696749
posterior_H1L1_1127193911.72-445.hdf5	1127193911.72	5.78083228833	4.99056264027
posterior_H1L1_1127611737.76-450.hdf5	1127611737.76	7.35576036472	6.54748828953
posterior_H1L1_1126627903.68-406.hdf5	1126627903.68	5.78224528851	10.111656263
posterior_H1L1_1127072188.19-422.hdf5	1127072188.19	7.43633811876	7.79459412349
posterior_H1L1_1127699133.26-369.hdf5	1127699133.26	6.23185869918	7.89692097107
posterior_H1L1_1127211582.81-366.hdf5	1127211582.81	6.14635316045	5.1113314368
posterior_H1L1_1126811046.44-469.hdf5	1126811046.44	5.64095113651	5.13762095162
posterior_H1L1_1126990301.7-432.hdf5	1126990301.7	4.69607446551	4.20638485801
posterior_H1L1_1126672284.98-530.hdf5	1126672284.98	5.22769445453	5.48415460889
posterior_H1L1_1128633103.76-557.hdf5	1128633103.76	8.64516586309	11.5823998277
posterior_H1L1_1129047221.4-490.hdf5	1129047221.4	6.30913921236	5.3404768962
posterior_H1L1_1127652973.03-398.hdf5	1127652973.03	6.16065307477	5.79364939002
posterior_H1L1_1127048545.6-478.hdf5	1127048545.6	7.13566546881	4.7274760265
posterior_H1L1_1128627448.9-545.hdf5	1128627448.9	6.42010840511	5.72444553462
posterior_H1L1_1127215863.8-448.hdf5	1127215863.8	6.07236897642	4.48599299862
posterior_H1L1_1127460422.0-617.hdf5	1127460422.0	5.37479344912	3.95054827013
