FAR	SNR	HTime	LTime	HminusL
1.3e-08	9.57	1129348517.16	1126260134.66	3088382.5
1.07e-07	9.26	1129347653.96	1127792099.17	1560000
1.36e-10	10.34	1129333578.26	1127366076.87	1967501.39
8.74e-08	9.289999999999999	1129251773.02	1129116807.52	134965.5
2.31e-07	9.140000000000001	1129249120.03	1128822443.82	426676.21
5.87e-08	9.35	1129117794.69	1128236770.69	881024.01
1.56e-10	10.32	1129105774.02	1129114816.82	-9042.799999999999
2.17e-07	9.15	1129082162.57	1127709544.06	1372618.5
1.12e-07	9.25	1129080224.54	1127363872.54	1720000
2.2e-07	9.140000000000001	1129077080.87	1127048238.47	2028842.4
1.93e-10	10.27	1129074846.18	1129250419.38	-175573.2
1.76e-07	9.18	1129074352.51	1128652473.71	422000
3.52e-08	9.42	1129070227.86	1127552604.86	1517623.01
2.36e-07	9.130000000000001	1129069137.67	1128828426.68	240710.99
1.49e-10	10.33	1129067990.67	1127988032.46	1080000
8.48e-08	9.289999999999999	1129047221.4	1127402384.81	1640000
3.78e-08	9.41	1129043244.3	1129293367.69	-250000
1.17e-10	10.37	1129041370.3	1126577611.69	2463758.61
1.45e-10	10.33	1129040988.14	1127525618.33	1515369.8
4.83e-08	9.380000000000001	1128998665.83	1128214921.02	783744.8100000001
5.22e-09	9.710000000000001	1128995282.66	1126957713.57	2037569.09
1.57e-08	9.550000000000001	1128991246.34	1128631871.74	359374.6
7.31e-11	10.46	1128989188.46	1127795952.07	1190000
1.6e-07	9.19	1128954745.38	1128162088.29	792657.09
1.2e-07	9.24	1128950294.18	1128000456.79	949837.39
8.35e-08	9.289999999999999	1128947771.55	1127701576.75	1246194.8
1.85e-07	9.17	1128943896.58	1129334201.78	-390000
2.49e-07	9.130000000000001	1128934599.22	1128003694.51	931000
2.4e-07	9.130000000000001	1128933299.79	1127198455.59	1730000
1.3e-09	9.93	1128932085.61	1128818475.72	113609.89
1.79e-07	9.18	1128916526.36	1128055821.87	860704.49
1.46e-10	10.33	1128914870.52	1127978445.92	936424.6
7.7e-08	9.31	1128910873.35	1128667067.95	243805.4
1.51e-10	10.32	1128872711.5	1127015730.99	1856980.51
3.34e-11	10.6	1128821272.83	1127978059.83	843213.01
7.31e-08	9.31	1128815977.86	1128450830.77	365147.09
2.28e-07	9.140000000000001	1128814949.48	1128647890.08	167000
6.13e-08	9.34	1128814670.87	1127983719.58	830951.29
7.83e-11	10.45	1128814300.66	1129253899.47	-440000
2.13e-07	9.15	1128762891.24	1127788665.53	974225.71
1.9e-10	10.28	1128761572.64	1129009888.74	-248316.1
1.89e-10	10.28	1128761563.27	1127795952.07	965611.1899999999
2.72e-11	10.63	1128761549.31	1129311777.43	-550228.11
5.43e-11	10.52	1128761549.3	1128005321.6	756227.7
1.79e-10	10.29	1128761463.65	1126325663.45	2435800.2
1.19e-07	9.24	1128761443.57	1128657692.46	103751.11
1.81e-10	10.29	1128761243.95	1127179412.46	1580000
1.1e-07	9.25	1128758349.11	1127042261.82	1716087.29
8.04e-11	10.44	1128757091.07	1129341285.56	-584194.49
5.22e-14	11.51	1128755932.49	1127345261.17	1410000
1.77e-10	10.29	1128755912.91	1126579181.71	2180000
1.44e-10	10.33	1128755861.57	1126751900.96	2000000
1.95e-10	10.27	1128755290.98	1127189548.39	1565742.59
1.68e-07	9.19	1128752538.75	1129333970.74	-581000
1.49e-07	9.199999999999999	1128740991.91	1127178169.2	1560000
1.71e-07	9.18	1128737615.34	1126403983.32	2333632.01
1.92e-10	10.27	1128706461.38	1127795952.07	910509.3100000001
6.27e-11	10.49	1128704866.36	1129340231.97	-635365.61
7.04e-08	9.32	1128703355.55	1127255059.26	1448296.29
3.91e-08	9.41	1128693014.48	1128332967.08	360047.4
1.72e-07	9.18	1128692057.64	1127794735.94	897000
4.23e-12	10.84	1128688216.65	1129341285.56	-653000
1.21e-07	9.24	1128682542.16	1128049365.66	633176.5
1.57e-07	9.199999999999999	1128681523.31	1127385186.1	1296337.21
1.98e-10	10.27	1128673113.87	1126941852.98	1730000
5.85e-11	10.51	1128673107.94	1129042081.55	-368973.6
6.52e-08	9.33	1128670114.12	1128774455.93	-104341.8
1.97e-07	9.16	1128666220.78	1128913419.48	-247198.69
1.66e-07	9.19	1128663652.48	1128453439.68	210212.8
2.47e-07	9.130000000000001	1128658598.19	1129330505.68	-672000
1.93e-07	9.16	1128658434.58	1128007703.98	650730.6
1.5e-07	9.199999999999999	1128657636.54	1129250642.33	-593005.79
6.790000000000001e-11	10.48	1128657044.22	1127978059.83	679000
1.65e-10	10.31	1128657039.4	1129330724.29	-673684.89
6.31e-12	10.8	1128657039.39	1129379017.11	-721977.71
2.07e-07	9.15	1128656678.41	1129100096.1	-443417.69
1.81e-07	9.17	1128656675	1128650460.7	6210
1.72e-10	10.3	1128656310.42	1127609673.72	1050000
2.45e-07	9.130000000000001	1128652618.37	1127977983.97	675000
1.32e-07	9.220000000000001	1128640338.16	1127361552.97	1280000
2.04e-10	10.26	1128636846.88	1127408530.99	1228315.89
1.73e-07	9.18	1128633103.76	1127980635.16	652468.6
1.63e-07	9.19	1128630031.13	1128657090.03	-27100
1.58e-07	9.199999999999999	1128627448.9	1127407133.81	1220000
2.56e-07	9.119999999999999	1128624004.9	1126793693.02	1830000
2.02e-07	9.16	1128503871.17	1127195149.28	1310000
4.7e-08	9.380000000000001	1128495877.36	1127547510.75	948366.61
1.87e-07	9.17	1128494876.65	1126997536.65	1500000
1.89e-07	9.17	1128494673.06	1127718561.26	776000
1.92e-07	9.17	1128488513.47	1129311618.97	-823000
9.909999999999999e-08	9.27	1128485640.4	1129249926	-764000
1.12e-10	10.38	1128483728.58	1127983112.47	500616.11
1.02e-10	10.4	1128481003.16	1129341285.56	-860282.4
1.03e-07	9.26	1128479412.37	1127981891.49	498000
7.830000000000001e-08	9.300000000000001	1128467310.26	1127557725.96	909584.3
1.74e-10	10.29	1128457175.84	1128244574.23	213000
1.15e-07	9.24	1128455276.27	1127014795.78	1440480.49
1.84e-07	9.17	1128454185.2	1127695020.3	759164.9
2.05e-10	10.26	1128446724.75	1127345816.25	1100000
1.26e-10	10.36	1128443202.05	1129334376.06	-891174.01
3.39e-08	9.43	1128430997.75	1128828873.06	-398000
6.78e-08	9.32	1128430632.89	1126919764.68	1510868.21
9.26e-08	9.279999999999999	1128426411.13	1127434372.34	992038.79
8.09e-08	9.300000000000001	1128419868.36	1128705049.04	-285180.69
2.32e-07	9.140000000000001	1128415542.2	1127529295.2	886000
5.09e-08	9.369999999999999	1128414893.47	1129349677.37	-935000
2.19e-07	9.15	1128403798.24	1126660801.95	1742996.29
1.75e-07	9.18	1128399614.4	1127978542.99	421071.41
1.17e-08	9.59	1128393840.67	1127994923.37	399000
2.35e-08	9.49	1128392318.28	1129007973.98	-616000
2.41e-11	10.64	1128349728.33	1128433415.02	-83700
1.99e-10	10.27	1128344078.81	1128903824.42	-559745.61
9.4e-11	10.42	1128343287.36	1127563106.77	780000
1.46e-07	9.210000000000001	1128340483.07	1128395083.68	-54600.61
9.19e-11	10.42	1128338512.08	1129343959.39	-1005447.31
1.42e-07	9.210000000000001	1128296359.92	1127219297.31	1077062.61
2.61e-11	10.63	1128294478.68	1127408530.99	886000
8.219999999999999e-08	9.300000000000001	1128285690.76	1127181778.56	1103912.2
5.22e-08	9.359999999999999	1128273386.61	1129250069.31	-977000
1.8e-07	9.18	1128273239.03	1128830570.92	-557331.89
1.83e-08	9.52	1128256099.44	1126416332.34	1839767.09
6.650000000000001e-08	9.33	1128250977.33	1127632729.12	618248.21
4.3e-08	9.390000000000001	1128250583.68	1127999651.48	250932.19
1.24e-07	9.23	1128248527.11	1127216539.72	1031987.4
8.559999999999999e-11	10.43	1128240966.51	1127708453.3	532513.21
2.15e-07	9.15	1128230000.75	1128664452.46	-434451.71
2.01e-07	9.16	1128229543.99	1127985883.6	243660.39
1.88e-10	10.28	1128227171.02	1129114816.83	-888000
6.58e-11	10.49	1128223407.57	1129341285.56	-1117877.99
1.51e-07	9.199999999999999	1128220237.17	1129369828.86	-1149591.69
1.28e-07	9.23	1128218515.88	1128485873.87	-267357.99
3.14e-11	10.61	1128171518.69	1127992314.78	179000
1.82e-10	10.29	1128171518.68	1128170156.99	1361.69
1.99e-11	10.66	1128171518.67	1127527884.49	644000
1.04e-10	10.4	1128171263.66	1129245572.36	-1074308.7
2.04e-07	9.16	1128169326.19	1127016298.08	1150000
1.7e-07	9.18	1128168660.77	1127088977.78	1080000
2.18e-07	9.15	1128168603.81	1128238835.91	-70200
7.44e-08	9.31	1128148413.1	1129329100.3	-1180000
1.13e-07	9.25	1128134491.19	1127658395.78	476095.41
1.41e-07	9.210000000000001	1128134270.18	1128431759.77	-297489.59
7.17e-08	9.32	1128129991.22	1127627852.81	502138.41
5.61e-08	9.35	1128128183.41	1128818449.41	-690000
1.02e-07	9.26	1128123332.63	1129096018.63	-973000
1e-10	10.4	1128121760.76	1129341285.56	-1219524.8
3.26e-08	9.44	1128118929.13	1126109814.92	2009114.21
1.25e-10	10.36	1128116556.94	1129097014.33	-980457.39
4.57e-08	9.380000000000001	1128057894.95	1128284224.76	-226329.81
1.27e-07	9.23	1128051935.27	1127366543.18	685000
2.48e-07	9.130000000000001	1128050418.25	1126805165.64	1250000
1.36e-07	9.220000000000001	1128044942.34	1127027976.32	1016966.01
1.96e-08	9.51	1128044136.39	1127396569.4	647566.99
1.33e-10	10.35	1127999992.18	1127981525.99	18466.19
2.37e-07	9.130000000000001	1127990409.96	1129341285.56	-1350875.6
2.3e-11	10.65	1127795327.13	1127978059.83	-182732.7
6.68e-11	10.48	1127792310.34	1127978059.83	-186000
8.880000000000001e-11	10.43	1127789138.97	1129341285.56	-1552146.59
1.7e-08	9.529999999999999	1127787846.61	1127478701.82	309144.79
1.9e-07	9.17	1127785576.15	1128214027.96	-428000
7.21e-11	10.47	1127783006.16	1127795952.07	-12900
2.09e-08	9.5	1127738037.11	1127630677.11	107000
1.73e-10	10.3	1127737863.12	1127609149.72	128713.4
1.16e-07	9.24	1127734024.76	1127255806.18	478218.59
1.53e-07	9.199999999999999	1127733689.3	1126923577.3	810000
1.54e-07	9.199999999999999	1127718903.33	1127980635.33	-261732
1.35e-10	10.35	1127711242.79	1128676396.58	-965000
2.01e-10	10.26	1127708824.65	1126107759.55	1600000
2.3e-07	9.140000000000001	1127707470.88	1129104263.88	-1400000
